id;x;y;z;id1;x1;y1;z1
1;11.111002;49.461254;0;1;11.111004;49.461248;0
2;11.110957;49.461330;0;2;11.110995;49.461303;0
3;11.111059;49.461355;0;3;11.111034;49.461351;0
4;11.110957;49.461330;0;4;11.110949;49.461323;0
5;11.111001;49.461253;0;5;11.110998;49.461248;0
6;11.110932;49.461192;0;6;11.110938;49.461183;0
7;11.110973;49.461149;0;7;11.110984;49.461137;0
8;11.110965;49.461147;-2;8;11.110981;49.461118;-2
9;11.110973;49.461187;-2;9;11.110979;49.461134;-2
10;11.110860;49.461199;-2;10;11.110938;49.461198;-2
11;11.110860;49.461199;-2;11;11.110919;49.461203;-2
12;11.110973;49.461187;-2;12;11.110965;49.461215;-2
13;11.111014;49.461168;-2;13;11.111038;49.461176;-2
14;11.111084;49.461204;-2;14;11.111132;49.461173;-2
15;11.111217;49.461136;-2;15;11.111226;49.461151;-2
16;11.111333;49.461096;-2;16;11.111335;49.461088;-2
17;11.111333;49.461097;-2;17;11.111335;49.461085;-2
18;11.111217;49.461136;-2;18;11.111227;49.461138;-2
19;11.111297;49.461188;-2;19;11.111309;49.461195;-2
20;11.111375;49.461148;-2;20;11.111374;49.461159;-2
21;11.111343;49.461213;-2;21;11.111321;49.461226;-2
22;11.111287;49.461261;-2;22;11.111278;49.461248;-2
23;11.111263;49.461328;-2;23;11.111258;49.461341;-2
24;11.111381;49.461331;-2;24;11.111367;49.461306;-2
25;11.111263;49.461328;-2;25;11.111281;49.461311;-2
26;11.111287;49.461261;-2;26;11.111285;49.461273;-2
27;11.111343;49.461213;-2;27;11.111332;49.461218;-2
28;11.111611;49.461277;-2;28;11.111597;49.461253;-2
29;11.111778;49.461308;-2;29;11.111731;49.461304;-2
30;11.111875;49.461332;-2;30;11.111874;49.461336;-2
31;11.111778;49.461308;-2;31;11.111788;49.461315;-2
32;11.111611;49.461277;-2;32;11.111627;49.461273;-2
33;11.111550;49.461293;-2;33;11.111561;49.461294;-2
34;11.111559;49.461276;-1;34;11.111557;49.461267;-1
35;11.111559;49.461276;-1;35*;11.111524;49.461253;-2
36;11.111597;49.461212;0;36;11.111600;49.461213;0
37;11.111556;49.461272;0;37;11.111561;49.461265;0
38;11.111560;49.461321;0;38;11.111560;49.461312;0
39;11.111451;49.461306;0;39;11.111441;49.461312;0
40;11.111560;49.461321;0;40;11.111569;49.461316;0
41;11.111556;49.461272;0;41;11.111564;49.461264;0
42;11.111573;49.461220;0;42;11.111577;49.461213;0
43;11.111564;49.461169;0;43*;11.111590;49.461180;-1
44;11.111510;49.461202;0;44;11.111507;49.461202;0
45;11.111314;49.461123;0;45;11.111358;49.461122;0
46;11.111078;49.461058;0;46;11.111100;49.461059;0
47;11.110941;49.461024;0;47;11.110951;49.461031;0
48;11.110805;49.460992;0;48;11.110830;49.461004;0
49;11.110590;49.460956;0;49;11.110624;49.460960;0
50;11.110545;49.460938;0;50;11.110552;49.460941;0
51;11.110497;49.460936;-2;51;11.110500;49.460935;-2
52;11.110513;49.461017;-2;52;11.110518;49.461022;-2
53;11.110642;49.461047;-2;53;11.110656;49.461061;-2
54;11.110608;49.461154;-2;54;11.110580;49.461154;-2
55;11.110586;49.461111;-2;55;11.110609;49.461122;-2
56;11.110767;49.461085;-2;56;11.110779;49.461093;-2
57;11.110805;49.461021;-2;57;11.110816;49.461029;-2
58;11.110826;49.460986;-2;58;11.110840;49.460971;-2
59;11.110918;49.461014;-2;59;11.110915;49.461003;-2
60;11.110843;49.461052;-2;60;11.110813;49.461036;-2
61;11.110795;49.461194;-2;61;11.110775;49.461194;-2
62;11.110741;49.461130;-2;62;11.110758;49.461159;-2
63;11.110768;49.461085;-2;63;11.110764;49.461102;-2
64;11.110966;49.461147;-2;64;11.110951;49.461144;-2
65;11.110972;49.461149;0;65*;11.111014;49.461174;-2
66;11.110896;49.461244;0;66;11.110972;49.461242;0
67;11.110896;49.461244;0;67;11.111014;49.461225;0
68;11.111001;49.461254;0;68;11.111036;49.461246;0
69;11.110957;49.461330;0;69;11.110963;49.461312;0
70;11.110896;49.461315;0;70;11.110938;49.461319;0
